com.samsung.shealth.food_frequent,6105031,1
morningsnack_count,pkg_name,update_time,breakfast_count,food_info_id,create_time,datauuid,afternoonsnack_count,lunch_count,dinner_count,eveningsnack_count,deviceuuid
0.99,com.sec.android.app.shealth,2019-09-21 09:39:52.617,0.99,7fa0cc98-cfe9-43db-9285-bc86a81bc094,2019-09-21 09:39:52.617,26de89e1-6030-47d7-9456-8c2754b6f575,0.99,0.99,0.99,0.99,CHxXcBbd2u,
0.75,com.sec.android.app.shealth,2019-09-21 09:39:52.621,0.75,9bcd968d-0673-40d1-a068-140ac9ebb255,2019-09-21 09:39:52.621,9930cb8b-0f27-495a-998a-8d5e9a379b07,0.75,0.75,0.75,0.75,CHxXcBbd2u,
0.95,com.sec.android.app.shealth,2019-09-21 09:39:52.617,0.95,98df11a0-3d60-4ea3-bba7-e0beb1094d4a,2019-09-21 09:39:52.617,cce7dd61-cba2-40a7-aed1-aba262bc453d,0.95,0.95,0.95,0.95,CHxXcBbd2u,
0.71,com.sec.android.app.shealth,2019-09-21 09:39:52.622,0.71,bd41f276-105f-49c1-b4b2-63f88fc7c47c,2019-09-21 09:39:52.622,a81cb772-1004-499f-92c0-052d15ea36d7,0.71,0.71,0.71,0.71,CHxXcBbd2u,
0.91,com.sec.android.app.shealth,2019-09-21 09:39:52.618,0.91,f390acd4-7034-4944-862b-49037fa46e55,2019-09-21 09:39:52.618,e9615995-3e22-4a41-b96f-7e45f1406d8b,0.91,0.91,0.91,0.91,CHxXcBbd2u,
0.87,com.sec.android.app.shealth,2019-09-21 09:39:52.619,0.87,c318c4eb-edaf-4a9b-9a0f-4f879051d8c4,2019-09-21 09:39:52.619,e7237f70-db2b-4984-ac89-909871402335,0.87,0.87,0.87,0.87,CHxXcBbd2u,
0.67,com.sec.android.app.shealth,2019-09-21 09:39:52.623,0.67,ca5b6f2d-f9d7-4b4c-97fb-ba04554db29d,2019-09-21 09:39:52.623,0821c06c-a9e0-40d8-a489-f0320cfafbbe,0.67,0.67,0.67,0.67,CHxXcBbd2u,
0.63,com.sec.android.app.shealth,2019-09-21 09:39:52.623,0.63,464f4fdb-9752-48be-acf0-39c12b8ffe8e,2019-09-21 09:39:52.623,840058e7-29a0-415c-81a1-265e922dd01a,0.63,0.63,0.63,0.63,CHxXcBbd2u,
0.83,com.sec.android.app.shealth,2019-09-21 09:39:52.620,0.83,55ab01c9-36b0-493f-b404-c6361e4c546e,2019-09-21 09:39:52.620,bd15b658-61d3-42c2-bfb0-05c9412d535a,0.83,0.83,0.83,0.83,CHxXcBbd2u,
0.79,com.sec.android.app.shealth,2019-09-21 09:39:52.621,0.79,3afb0e8c-f4f1-4a21-8c8b-e0f8fba6460c,2019-09-21 09:39:52.621,7f17338e-9190-4003-8e07-9da1304b0b8b,0.79,0.79,0.79,0.79,CHxXcBbd2u,
